name,width_x,depth_y,height_z,volume_m3
002_master_chef_can.usd,0.102404,0.140177,0.102309,0.00146860
003_cracker_box.usd,0.164036,0.213437,0.071800,0.00251382
004_sugar_box.usd,0.092677,0.176253,0.045134,0.00073725
005_tomato_soup_can.usd,0.067659,0.101855,0.067714,0.00046665
006_mustard_bottle.usd,0.096024,0.191301,0.058249,0.00107000
007_tuna_fish_can.usd,0.085559,0.033538,0.085540,0.00024546
008_pudding_box.usd,0.113654,0.089817,0.038471,0.00039272
009_gelatin_box.usd,0.089183,0.073115,0.029983,0.00019551
010_potted_meat_can.usd,0.101647,0.083543,0.057601,0.00048914
011_banana.usd,0.197174,0.038649,0.074066,0.00056443
019_pitcher_base.usd,0.188618,0.242387,0.133106,0.00608542
021_bleach_cleanser.usd,0.102433,0.250580,0.067699,0.00173767
024_bowl.usd,0.161164,0.055009,0.161463,0.00143145
025_mug.usd,0.116990,0.081303,0.093088,0.00088542
035_power_drill.usd,0.184361,0.186836,0.057192,0.00196998
036_wood_block.usd,0.089696,0.206092,0.090780,0.00167813
037_scissors.usd,0.091075,0.197238,0.017192,0.00030884
040_large_marker.usd,0.018834,0.120886,0.019476,0.00004434
051_large_clamp.usd,0.164941,0.121666,0.036413,0.00073073
052_extra_large_clamp.usd,0.202596,0.165202,0.036476,0.00122084
061_foam_brick.usd,0.077874,0.051193,0.052560,0.00020954
